Frequency of Green LED: 5
Duty Cycle of Green LED: 20
Frequency of Red LED: 5
Duty Cycle of Red LED: 50
Time, Green LED, Red LED
24.34,      0,       0
24.36,      0,       0
24.38,      0,       0
24.40,      0,       0
24.42,      1,       1
24.44,      1,       1
24.46,      0,       1
24.48,      0,       1
24.50,      0,       1
24.52,      0,       0
24.54,      0,       0
24.56,      0,       0
24.58,      0,       0
24.60,      0,       0
24.62,      1,       1
24.64,      1,       1
24.66,      0,       1
24.68,      0,       1
24.70,      0,       1
24.72,      0,       0
24.74,      0,       0
24.76,      0,       0
24.78,      0,       0
24.80,      0,       0
24.82,      1,       1
24.84,      1,       1
24.86,      0,       1
24.88,      0,       1
24.90,      0,       1
24.92,      0,       0
24.94,      0,       0
24.96,      0,       0
24.98,      0,       0
25.00,      0,       0
25.02,      1,       1
25.04,      1,       1
25.06,      0,       1
25.08,      0,       1
25.10,      0,       1
25.12,      0,       0
25.14,      0,       0
25.16,      0,       0
25.18,      0,       0
25.20,      0,       0
25.22,      1,       1
25.24,      1,       1
25.26,      0,       1
25.28,      0,       1
25.30,      0,       1
25.32,      0,       0
25.34,      0,       0
25.36,      0,       0
25.38,      0,       0
25.40,      0,       0
25.42,      1,       1
25.44,      1,       1
25.46,      0,       1
25.48,      0,       1
25.50,      0,       1
25.52,      0,       0
25.54,      0,       0
25.56,      0,       0
25.58,      0,       0
25.60,      0,       0
25.62,      1,       1
25.64,      1,       1
25.66,      0,       1
25.68,      0,       1
25.70,      0,       1
25.72,      0,       0
25.74,      0,       0
25.76,      0,       0
25.78,      0,       0
25.80,      0,       0
25.82,      1,       1
25.84,      1,       1
25.86,      0,       1
25.88,      0,       1
25.90,      0,       1
25.92,      0,       0
25.94,      0,       0
25.96,      0,       0
25.98,      0,       0
26.00,      0,       0
26.02,      1,       1
26.04,      1,       1
26.06,      0,       1
26.08,      0,       1
26.10,      0,       1
26.12,      0,       0
26.14,      0,       0
26.16,      0,       0
26.18,      0,       0
26.20,      0,       0
26.22,      1,       1
26.24,      1,       1
26.26,      0,       1
26.28,      0,       1
26.30,      0,       1
26.32,      0,       0
26.34,      0,       0
26.36,      0,       0
26.38,      0,       0
26.40,      0,       0
26.42,      1,       1
26.44,      1,       1
26.46,      0,       1
26.48,      0,       1
26.50,      0,       1
26.52,      0,       0
26.54,      0,       0
26.56,      0,       0
26.58,      0,       0
26.60,      0,       0
26.62,      1,       1
26.64,      1,       1
26.66,      0,       1
26.68,      0,       1
26.70,      0,       1
26.72,      0,       0
26.74,      0,       0
26.76,      0,       0
26.78,      0,       0
26.80,      0,       0
26.82,      1,       1
26.84,      1,       1
26.86,      0,       1
26.88,      0,       1
26.90,      0,       1
26.92,      0,       0
26.94,      0,       0
26.96,      0,       0
26.98,      0,       0
27.00,      0,       0
27.02,      1,       1
27.04,      1,       1
27.06,      0,       1
27.08,      0,       1
27.10,      0,       1
27.12,      0,       0
27.14,      0,       0
27.16,      0,       0
27.18,      0,       0
27.20,      0,       0
27.22,      1,       1
27.24,      1,       1
27.26,      0,       1
